"spkid","full_name","neo","pha","H","diameter","albedo","spec_B","spec_T","orbit_id","epoch","e","a","q","i","om","w","ma","n","per","moid","class","data_arc","first_obs","last_obs","n_obs_used","condition_code","ad","per_y","n_del_obs_used","n_dop_obs_used","epoch_mjd","extent","rot_per","GM","BV","UB","IR","tp_cal","two_body","A1","A2","A3","DT","tp","M1","K1","M2","K2","PC"
20001566,"  1566 Icarus (1949 MA)",Y,Y,16.53,1.0,0.51,,,194,2461000.5,0.8270,1.078,0.186,22.80,87.95,31.44,153.08,0.8805,409,0.0335,APO,27807,1949-07-01,2025-08-18,1792,0,1.97,1.12,10,13,61000,,2.2726,,0.774,0.520,,2025-05-31.1,,,-3.7e-15,,,2460826.65,,,,,
20001620,"  1620 Geographos (1951 RA)",Y,Y,15.27,2.56,0.290,S,S,"JPL 769",2461000.5,0.3355,1.246,0.828,13.34,337.14,277.02,212.92,0.7088,508,0.0294,APO,27046,1951-09-14,2025-10-01,8187,0,1.66,1.39,3,4,61000,5.0x2.0x2.1,5.22204,,0.862,0.471,,2026-06-16.4,,,-3.7e-15,,,2461208.00,,,,,
20001862,"  1862 Apollo (1932 HA)",Y,Y,16.08,1.5,0.25,Q,Q,539,2461000.5,0.5599,1.471,0.647,6.35,35.54,286.05,113.88,0.5525,652,0.026,APO,34421,1930-12-13,2025-03-10,3473,0,2.29,1.78,8,9,61000,,3.065,,0.819,0.481,,2025-04-28.8,,,-3.7e-15,,,2460794.37,,,,,
20001981,"  1981 Midas (1973 EA)",Y,Y,15.25,3.4,,V,,"JPL 367",2461000.5,0.6505,1.776,0.621,39.82,356.79,267.84,65.35,0.4163,865,0.00277,APO,19204,1973-03-06,2025-10-03,2297,0,2.93,2.37,6,1,61000,,5.22,,,,,2025-06-17.0,,,,,,2460843.54,,,,,
20002101,"  2101 Adonis (1936 CA)",Y,Y,18.69,0.6,,,,52,2461000.5,0.7641,1.874,0.442,1.32,349.41,43.71,24.48,0.3842,937,0.0115,APO,32656,1936-02-21,2025-07-19,149,0,3.31,2.57,0,5,61000,,,,,,,2025-09-18.2,,,-3.3e-14,,,2460936.78,,,,,
20002102,"  2102 Tantalus (1975 YA)",Y,Y,16.00,1.649,0.245,Q,,"JPL 261",2461000.5,0.2994,1.29,0.904,64.01,94.35,61.50,347.36,0.6726,535,0.0426,APO,18167,1976-01-02,2025-09-28,2154,0,1.68,1.47,1,0,61000,,2.384,,,,,2025-12-09.7,,,,,,2461019.30,,,,,
20002135,"  2135 Aristaeus (1977 HA)",Y,Y,18.05,,,,,24,2461000.5,0.5031,1.6,0.795,23.07,191.11,290.98,37.18,0.4872,739,0.00853,APO,15749,1977-04-17,2020-05-30,61,1,2.40,2.02,,,61000,,,,,,,2025-09-05.6,,,,,,2460924.18,,,,,
20002201,"  2201 Oljato (1947 XC)",Y,Y,15.32,1.80,0.4328,Sq,,"JPL 352",2461000.5,0.7107,2.179,0.630,2.52,74.86,98.37,97.01,0.3065,1.17e+03,0.00278,APO,34265,1931-12-03,2025-09-25,1847,0,3.73,3.22,0,5,61000,,26,,,,,2025-01-08.4,,,,,,2460683.98,,,,,
20002340,"  2340 Hathor (1976 UA)",Y,Y,20.43,0.3,,Sq,CSU,62,2461000.5,0.4499,0.8439,0.464,5.86,211.28,40.12,201.98,1.271,283,0.00663,ATE,16477,1976-10-25,2021-12-05,572,0,1.22,0.775,4,3,61000,,3.35,,0.770,0.500,,2026-03-25.2,,,-3.0e-14,,,2461124.78,,,,,
20003122,"  3122 Florence (1981 ET3)",Y,Y,14.08,4.9,0.231,S,,"JPL 984",2461000.5,0.4232,1.769,1.020,22.14,336.04,27.88,168.26,0.4189,859,0.0436,AMO,16876,1979-03-09,2025-05-22,9973,0,2.52,2.35,6,0,61000,,2.3581,,,,,2024-10-15.3,,,,,,2460598.88,,,,,
